raw_name,canonical_org,org_type,canonical_homepage_url,facility_name,facility_city,facility_state,facility_country,facility_url,notes
Lone Star U-Pull-It (TX),Independent U-Pull-It,Auto U-Pull,,Pull-It (TX),,,US,,
"B&R Auto Wrecking (OR/WA/CA hybrid, some self service)","B&R Auto Wrecking (OR/WA/CA hybrid, some self service)",Scrap Yard,,,,,US,,
~20 independents SW,~20 independents SW,Unknown,,,,,US,,
1. Major Industrial / Scrap Commodity Brokers (U.S. National),1. Major Industrial / Scrap Commodity Brokers (U.S. National),Scrap Yard,,,,,US,,
"These trade scrap, secondary metals, industrial residues, surcharges, surpluses.","These trade scrap, secondary metals, industrial residues, surcharges, surpluses.",Scrap Yard,,,,,US,,
Smart Recycling Management,Smart Recycling Management,Scrap Yard,,,,,US,,
River Metals Marketing (RMR markets desk),River Metals Marketing (RMR markets desk),Scrap Yard,,,,,US,,
Metalico Marketing,"Metalico, Inc.",Scrap Yard,https://www.metalico.com/,,,,US,,
SA Recycling trading division,SA Recycling,Scrap Yard,https://www.sarecycling.com/,trading division,,,US,,
OmniSource trading,"OmniSource, LLC",Scrap Yard,https://www.omnisource.com/,,,,US,,
EMR Global Trading,EMR (European Metal Recycling),Scrap Yard,https://us.emrgroup.com/,,,,US,,
Sims Metal Management brokerage,Sims Limited,Scrap Yard,https://www.simsltd.com/,,,,US,,
Alter Trading brokerage,Alter Trading Corporation,Scrap Yard,https://www.altertrading.com/,,,,US,,
PADNOS Trading,PADNOS,Scrap Yard,https://www.padnos.com/,Trading,,,US,,
GLR Advanced Trading Desk,GLR Advanced Trading Desk,Unknown,,,,,US,,
AMG Resources Trading Division,AMG Resources Trading Division,Unknown,,,,,US,,
CMC Recycling Trading (Commercial Metals Co.),Commercial Metals Company,Scrap Yard,https://www.cmc.com/,,,,US,,
Nucor / DJJ (David J. Joseph Co.) Trading,Nucor Corporation,Steel Mill,https://www.nucor.com/,,,,US,,
DJJ Brokerage Services,DJJ Brokerage Services,Unknown,,,,,US,,
Millberry Metals Trading,Millberry Metals Trading,Scrap Yard,,,,,US,,
ICC Metals,ICC Metals,Scrap Yard,,,,,US,,
MetalX Trading Division,MetalX Trading Division,Scrap Yard,,,,,US,,
Hugo Neu Recycling (trading),Hugo Neu Recycling (trading),Scrap Yard,,,,,US,,
PSC Metals brokerage,PSC Metals brokerage,Scrap Yard,,,,,US,,
Schnitzer Steel / RADIUS trading desk,Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,,,,US,,
Southern Recycling Trading,Southern Recycling Trading,Scrap Yard,,,,,US,,
GLE Scrap Metal Trading,GLE Scrap Metal Trading,Scrap Yard,,,,,US,,
OmniSource International Desk,"OmniSource, LLC",Scrap Yard,https://www.omnisource.com/,,,,US,,
Mega Metals Trading,Mega Metals Trading,Scrap Yard,,,,,US,,
"Aleris (legacy, now Novelis) scrap desk",Novelis Inc.,Aluminum,https://novelis.com/,,,,US,,
Tower Alloys Trading,Tower Alloys Trading,Unknown,,,,,US,,
Cronimet Specialty Metals,Cronimet Specialty Metals,Scrap Yard,https://www.cronimet.com/,,,,US,,
Universal Metals Trading,Universal Metals Trading,Scrap Yard,,,,,US,,
Metal Exchange Corp. (St. Louis),Metal Exchange Corp. (St. Louis),Scrap Yard,,,,,US,,
Resco Metals Trading,Resco Metals Trading,Scrap Yard,,,,,US,,
M. Shapiro & Co.,M. Shapiro & Co.,Unknown,,,,,US,,
Midwest Industrial Metals,Midwest Industrial Metals,Scrap Yard,,,,,US,,
Grand Metal Trading,Grand Metal Trading,Scrap Yard,,,,,US,,
Phoenix Metal Traders,Phoenix Metal Traders,Scrap Yard,,,,,US,,
Sierra Recycling Trading,Sierra Recycling Trading,Scrap Yard,,,,,US,,
Sims Aluminum Trading,Sims Aluminum Trading,Unknown,,,,,US,,
👉 Subtotal: ~40,👉 Subtotal: ~40,Unknown,,,,,US,,
🟦 2. Ferrous & Non-Ferrous Brokers (Mid-Tier / Regional),🟦 2. Ferrous & Non-Ferrous Brokers (Mid-Tier / Regional),Unknown,,Ferrous Brokers (Mid-Tier / Regional),,,US,,
"Mostly trade copper, brass, aluminum, stainless, insulated wire.","Mostly trade copper, brass, aluminum, stainless, insulated wire.",Unknown,,,,,US,,
Power Metal Recycling Brokers,Power Metal Recycling Brokers,Scrap Yard,,,,,US,,
Langley Metals Trading,Langley Metals Trading,Scrap Yard,,,,,US,,
Allied Scrap Traders,Allied Scrap Traders,Scrap Yard,,,,,US,,
Wabash Metals Brokerage,Wabash Metals Brokerage,Scrap Yard,,,,,US,,
Vinton Steel Brokerage,Vinton Steel Brokerage,Unknown,,,,,US,,
Mervis Trading Desk,Mervis Trading Desk,Unknown,,,,,US,,
Schupan Trading (Non-ferrous),Schupan Trading (Non-ferrous),Unknown,,ferrous),,,US,,
Federal Metal Co (Cleveland — major brass buyer),Federal Metal Co (Cleveland — major brass buyer),Scrap Yard,,,,,US,,
CASS Inc. Trading,CASS Inc. Trading,Unknown,,,,,US,,
Miller Metals Trading,Miller Metals Trading,Scrap Yard,,,,,US,,
Empire Metals Trading,Empire Metals Trading,Scrap Yard,,,,,US,,
Industrial Metal Supply Brokerage,Industrial Metal Supply Brokerage,Scrap Yard,,,,,US,,
Alpert & Alpert Iron & Metal Trading,Alpert & Alpert Iron & Metal Trading,Scrap Yard,,,,,US,,
Keywell Metals (stainless/shred),Keywell Metals (stainless/shred),Scrap Yard,,,,,US,,
DeYoung Metals,DeYoung Metals,Scrap Yard,,,,,US,,
Great Lakes Metals Trading,Great Lakes Metals Trading,Scrap Yard,,,,,US,,
Padnos Non-Ferrous Desk,PADNOS,Scrap Yard,https://www.padnos.com/,Ferrous Desk,,,US,,
Totall Metal Recycling (Illinois – major broker),Totall Metal Recycling (Illinois – major broker),Scrap Yard,,major broker),,,US,,
Talco Metals,Talco Metals,Scrap Yard,,,,,US,,
Midwest Metal Brokers,Midwest Metal Brokers,Scrap Yard,,,,,US,,
Franklin Metals,Franklin Metals,Scrap Yard,,,,,US,,
Cohen Recycling Brokerage,Cohen Recycling Brokerage,Scrap Yard,,,,,US,,
Belson Trading Division,Belson Trading Division,Unknown,,,,,US,,
Gaby Iron & Metal Trading,Gaby Iron & Metal Trading,Scrap Yard,,,,,US,,
Midwest Scrap Management Trading,Midwest Scrap Management Trading,Scrap Yard,,,,,US,,
Wiscomet Metals (WI),Wiscomet Metals (WI),Scrap Yard,,,,,US,,
Roane Metals Group,Roane Metals Group,Scrap Yard,,,,,US,,
Eagle Alloys Corp,Eagle Alloys Corp,Unknown,,,,,US,,
Freedom Metals Trading,Freedom Metals Trading,Scrap Yard,,,,,US,,
Allied Alloys Trading,Allied Alloys Trading,Unknown,,,,,US,,
👉 Subtotal: ~30,👉 Subtotal: ~30,Unknown,,,,,US,,
🟦 3. Auto Catalyst / Converter Trading Companies,🟦 3. Auto Catalyst / Converter Trading Companies,Unknown,,,,,US,,
These are huge BRidge targets — converter data = $$$.,These are huge BRidge targets — converter data = $$$.,Unknown,,,,,US,,
Global Refining Group (GRG),Global Refining Group (GRG),Unknown,,,,,US,,
Alpha Recycling,Alpha Recycling,Scrap Yard,,,,,US,,
Noble6 Catalytic,Noble6 Catalytic,Unknown,,,,,US,,
Metal Recovery Solutions (MRS),Metal Recovery Solutions (MRS),Scrap Yard,,,,,US,,
PGM Recovery Systems,PGM Recovery Systems,Unknown,https://pgmrecoverysystems.com/,,,,US,,
Legend Smelting & Recycling,Legend Smelting & Recycling,Scrap Yard,,,,,US,,
Ecotrade Group,Ecotrade Group,Unknown,,,,,US,,
APM Catalytic,APM Catalytic,Unknown,,,,,US,,
BR Metals USA,BR Metals USA,Scrap Yard,,,,,US,,
ConverterGuys,ConverterGuys,Unknown,,,,,US,,
Phoenix Auto Cores Trading,Phoenix Auto Cores Trading,Unknown,,,,,US,,
United Catalyst Corporation (UCC),United Catalyst Corporation (UCC),Unknown,https://unitedcatalystcorporation.com/,,,,US,,
Core Buyer USA,Core Buyer USA,Unknown,,,,,US,,
Sebring Auto Core,Sebring Auto Core,Unknown,,,,,US,,
Catalytic Converter Buyers USA,Catalytic Converter Buyers USA,Unknown,,,,,US,,
Suriwong Metals (U.S. division),Suriwong Metals (U.S. division),Scrap Yard,,,,,US,,
RRCats (ScrapCat/Exotics),RRCats (ScrapCat/Exotics),Scrap Yard,,,,,US,,
Catman Catalytic,Catman Catalytic,Unknown,,,,,US,,
Red Fox Resources (PGM trading),Red Fox Resources (PGM trading),Unknown,,,,,US,,
PGM of Texas,PGM of Texas,Unknown,,,,,US,,
Noble Metals,Noble Metals,Scrap Yard,,,,,US,,
Noble Group,Noble Group,Unknown,,,,,US,,
👉 Subtotal: ~22,👉 Subtotal: ~22,Unknown,,,,,US,,
🟦 4. Industrial Scrap / Byproduct Traders,🟦 4. Industrial Scrap / Byproduct Traders,Scrap Yard,,,,,US,,
"Buy/sell foundry returns, punchings, borings, turnings, sweeps, e-scrap, plastics.","Buy/sell foundry returns, punchings, borings, turnings, sweeps, e-scrap, plastics.",Scrap Yard,,"scrap, plastics.",,,US,,
Glencore Recycling / Glencore Metals Trading,Glencore,Broker,https://www.glencore.com/,Recycling / Glencore Metals Trading,,,US,,
Trafigura Metals,Trafigura,Broker,https://www.trafigura.com/,Metals,,,US,,
Gerald Metals,Gerald Metals,Scrap Yard,https://www.gerald.com/,,,,US,,
Cargill Metals Supply Chain,"Cargill, Inc.",Broker,https://www.cargill.com/,,,,US,,
Koch Metals,Koch Metals,Scrap Yard,,,,,US,,
XTRA Trading Corp,XTRA Trading Corp,Unknown,,,,,US,,
Huron Valley Steel Trading,Huron Valley Steel,Scrap Yard,https://www.hvss.net/,Trading,,,US,,
Umicore USA (PGM trading),Umicore,Refiner,https://www.umicore.com/,USA (PGM trading),,,US,,
Cozzi Recycling Trading,Cozzi Recycling Trading,Scrap Yard,,,,,US,,
ThyssenKrupp Materials Trading,ThyssenKrupp Materials Trading,Unknown,,,,,US,,
Cronimet (specialty alloys),Cronimet (specialty alloys),Unknown,,,,,US,,
Calbag Metals Trading,Calbag Metals Trading,Scrap Yard,,,,,US,,
Elemental Metals & Recycling,Elemental Metals & Recycling,Scrap Yard,,,,,US,,
Spectra Metals Trading,Spectra Metals Trading,Scrap Yard,,,,,US,,
Liberty Iron & Metal Trading,Liberty Iron & Metal Trading,Scrap Yard,,,,,US,,
Commercial Metals Intl,Commercial Metals Intl,Scrap Yard,,,,,US,,
Henschel Trade Group,Henschel Trade Group,Unknown,https://henschel.com/,,,,US,,
GDB International (plastics/metals),GDB International (plastics/metals),Scrap Yard,,,,,US,,
QML Metals,QML Metals,Scrap Yard,,,,,US,,
Sierra International Trading,Sierra International Trading,Unknown,,,,,US,,
Kivotos Metals,Kivotos Metals,Scrap Yard,,,,,US,,
Derichebourg Recycling USA Trading,Derichebourg Recycling USA Trading,Scrap Yard,https://www.derichebourg.com/,,,,US,,
👉 Subtotal: ~24,👉 Subtotal: ~24,Unknown,,,,,US,,
🟦 5. Futures / Hedging / Commercial Metals Brokers,🟦 5. Futures / Hedging / Commercial Metals Brokers,Scrap Yard,,,,,US,,
"These ARE NOT retail brokerage firms — these are commodity desks that actually handle copper/aluminum/steel hedging, real futures exposure.","These ARE NOT retail brokerage firms — these are commodity desks that actually handle copper/aluminum/steel hedging, real futures exposure.",Unknown,,,,,US,,
StoneX (INTL FCStone) — metals desk,StoneX Group Inc.,Futures Desk,https://www.stonex.com/,,,,US,,
Marex — metals & scrap hedging,Marex Group,Futures Desk,https://www.marex.com/,,,,US,,
ED&F Man / Man Capital Markets,ED&F Man / Man Capital Markets,Unknown,,,,,US,,
Sucden Financial (U.S. metals desk),Sucden Financial (U.S. metals desk),Scrap Yard,,,,,US,,
BNP Paribas Metals,BNP Paribas Metals,Scrap Yard,,,,,US,,
Jefferies Metals & Mining desk,Jefferies Metals & Mining desk,Scrap Yard,,,,,US,,
Goldman Sachs Commodities (industrial metals),Goldman Sachs Commodities (industrial metals),Scrap Yard,,,,,US,,
Citi Commodities,Citi Commodities,Unknown,,,,,US,,
JPMorgan Metals,JPMorgan Metals,Scrap Yard,,,,,US,,
Morgan Stanley Commodities,Morgan Stanley Commodities,Unknown,,,,,US,,
DRW Metals,DRW Metals,Scrap Yard,,,,,US,,
Optiver Metals (derivatives),Optiver Metals (derivatives),Scrap Yard,,,,,US,,
RJ O’Brien Metals Desk,RJ O’Brien Metals Desk,Scrap Yard,,,,,US,,
ADM Investor Services (metals group),ADM Investor Services (metals group),Scrap Yard,,,,,US,,
Interactive Brokers (commercial hedging permissible),Interactive Brokers (commercial hedging permissible),Unknown,,,,,US,,
Advantage Futures (commercial metals),Advantage Futures (commercial metals),Scrap Yard,,,,,US,,
TP ICAP (voice metals brokerage),TP ICAP (voice metals brokerage),Scrap Yard,,,,,US,,
Britannia Global Metals Desk,Britannia Global Metals Desk,Scrap Yard,,,,,US,,
Concord Resources,Concord Resources,Unknown,https://www.concordresources.com/,,,,US,,
TransMarket Group (TMG Metals),TransMarket Group (TMG Metals),Scrap Yard,https://www.transmarketgroup.com/,,,,US,,
"Marex Spectron (legacy, still metals)",Marex Group,Futures Desk,https://www.marex.com/,,,,US,,
Mitsui & Co. Metals,Mitsui & Co. Metals,Scrap Yard,https://www.mitsui.com/,,,,US,,
Sumitomo Corporation of Americas,Sumitomo Corporation of Americas,Unknown,https://www.sumitomocorp.com/en/us,,,,US,,
Cargill Metals Supply Chain,"Cargill, Inc.",Broker,https://www.cargill.com/,,,,US,,
Glencore Futures (hedging desk),Glencore,Broker,https://www.glencore.com/,Futures (hedging desk),,,US,,
👉 Subtotal: ~28,👉 Subtotal: ~28,Unknown,,,,,US,,
🟦 6. Precious Metal / PGM / Industrial Refining Brokers,🟦 6. Precious Metal / PGM / Industrial Refining Brokers,Scrap Yard,,,,,US,,
These are high-value for converters + e-scrap.,These are high-value for converters + e-scrap.,Scrap Yard,,value for converters + e-scrap.,,,US,,
Umicore,Umicore,Refiner,https://www.umicore.com/,,,,US,,
Johnson Matthey (legacy metals trading),Johnson Matthey (legacy metals trading),Scrap Yard,,,,,US,,
Heraeus Metals,Heraeus,Refiner,https://www.heraeus.com/,Metals,,,US,,
Asahi Refining,Asahi Refining,Refiner,https://www.asahirefining.com/,,,,US,,
Metalor,Metalor,Scrap Yard,https://www.metalor.com/,,,,US,,
Dillon Gage Metals,Dillon Gage Metals,Scrap Yard,https://dillongage.com/,,,,US,,
Scottsdale Mint industrial division,Scottsdale Mint industrial division,Unknown,,,,,US,,
APMEX Industrial,APMEX Industrial,Unknown,https://www.apmex.com/,,,,US,,
Rio Tinto Copper / Gold derivatives,Rio Tinto,Mining,https://www.riotinto.com/,Copper / Gold derivatives,,,US,,
Barrick Gold hedging desk,Barrick Gold Corporation,Mining,https://www.barrick.com/,,,,US,,
Kinross Gold marketing,Kinross Gold,Mining,https://www.kinross.com/,marketing,,,US,,
PGM America,PGM America,Unknown,,,,,US,,
Republic Metals (legacy assets traded),Republic Metals (legacy assets traded),Scrap Yard,,,,,US,,
Arch Enterprises,Arch Enterprises,Unknown,,,,,US,,
Southern Copper trading,Southern Copper trading,Unknown,,,,,US,,
👉 Subtotal: ~15,👉 Subtotal: ~15,Unknown,,,,,US,,
🟦 7. E-Scrap / Electronics Commodity Brokers,🟦 7. E-Scrap / Electronics Commodity Brokers,Scrap Yard,,Scrap / Electronics Commodity Brokers,,,US,,
"Trade boards, CPUs, telecom scrap, precious-metal-bearing material.","Trade boards, CPUs, telecom scrap, precious-metal-bearing material.",Scrap Yard,,metal-bearing material.,,,US,,
ERI,ERI,Unknown,https://eridirect.com/,,,,US,,
Sunnking,Sunnking,Unknown,https://www.sunnking.com/,,,,US,,
Cal Micro Recycling,Cal Micro Recycling,Scrap Yard,https://calmicrorecycling.com/,,,,US,,
GES,GES,Unknown,,,,,US,,
Regency Technologies,Regency Technologies,Unknown,https://www.regencytechnologies.com/,,,,US,,
Metech Recycling (legacy),Metech Recycling (legacy),Scrap Yard,,,,,US,,
Sipi Asset Recovery,Sipi Asset Recovery,Unknown,,,,,US,,
Quantum Lifecycle,Quantum Lifecycle,Unknown,,,,,US,,
E-Scrap Solutions,E-Scrap Solutions,Scrap Yard,,Scrap Solutions,,,US,,
Interco Trading (huge),Interco Trading (huge),Unknown,,,,,US,,
HOBI International,HOBI International,Unknown,https://hobi.com/,,,,US,,
AER Worldwide,AER Worldwide,Unknown,https://aerworldwide.com/,,,,US,,
Clover Technologies,Clover Technologies,Unknown,https://www.clovertech.com/,,,,US,,
Dynamic Lifecycle,Dynamic Lifecycle,Unknown,https://www.dlrenew.com/,,,,US,,
Orca Trading,Orca Trading,Unknown,,,,,US,,
👉 Subtotal: ~15,👉 Subtotal: ~15,Unknown,,,,,US,,
🚛 Alabama,🚛 Alabama,Unknown,,,,,US,,
SA Recycling,SA Recycling,Scrap Yard,https://www.sarecycling.com/,,,,US,,
Schnitzer / Radius Recycling (Mobile),Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,,,,US,,
Alter Trading,Alter Trading Corporation,Scrap Yard,https://www.altertrading.com/,,,,US,,
PSC Metals,PSC Metals,Scrap Yard,https://www.pscmetals.com/,,,,US,,
CMC Recycling,Commercial Metals Company,Scrap Yard,https://www.cmc.com/,,,,US,,
Steel City Recycling (Birmingham),Steel City Recycling (Birmingham),Scrap Yard,,,,,US,,
Birmingham Recycling & Recovery,Birmingham Recycling & Recovery,Scrap Yard,,,,,US,,
Iron City Recycling,Iron City Recycling,Scrap Yard,,,,,US,,
Alabama Metal Recycling,Alabama Metal Recycling,Scrap Yard,,,,,US,,
Montgomery Scrap Metal,Montgomery Scrap Metal,Scrap Yard,,,,,US,,
A-1 Auto Parts & Salvage,A-1 Auto Parts & Salvage,Unknown,,1 Auto Parts & Salvage,,,US,,
Tennessee Valley Recycling (Huntsville/Decatur corridor),Tennessee Valley Recycling (Huntsville/Decatur corridor),Scrap Yard,,,,,US,,
Tri-State Recycling,Tri-State Recycling,Scrap Yard,,State Recycling,,,US,,
Gulf Coast Scrap,Gulf Coast Scrap,Scrap Yard,,,,,US,,
ABC Recycling (various local),ABC Recycling (various local),Scrap Yard,,,,,US,,
🚛 Alaska,🚛 Alaska,Unknown,,,,,US,,
C&R Pipe and Steel (Fairbanks),C&R Pipe and Steel (Fairbanks),Unknown,,,,,US,,
Alaska Metal Recycling (Anchorage),Alaska Metal Recycling (Anchorage),Scrap Yard,,,,,US,,
Central Recycling Services (Anchorage),Central Recycling Services (Anchorage),Scrap Yard,,,,,US,,
Total Reclaim / ERI-type e-scrap players,Total Reclaim / ERI-type e-scrap players,Scrap Yard,,type e-scrap players,,,US,,
K&K Recycling (regional),K&K Recycling (regional),Scrap Yard,,,,,US,,
Alaska Auto Recyclers,Alaska Auto Recyclers,Unknown,,,,,US,,
Alaskan Copper & Brass (more industrial but still metals),Alaskan Copper & Brass (more industrial but still metals),Scrap Yard,,,,,US,,
🚛 Arizona,🚛 Arizona,Unknown,,,,,US,,
"(You already have a ton, but including the chains)","(You already have a ton, but including the chains)",Unknown,,,,,US,,
"SA Recycling (multiple: Mesa, Phoenix Broadway, Yuma, Tucson)",SA Recycling,Scrap Yard,https://www.sarecycling.com/,"(multiple: Mesa, Phoenix Broadway, Yuma, Tucson)",,,US,,
Liberty Iron & Metal Southwest (Phoenix),Liberty Iron & Metal Southwest (Phoenix),Scrap Yard,,,,,US,,
Tucson Iron & Metal,Tucson Iron & Metal,Scrap Yard,,,,,US,,
MetalSort,MetalSort,Scrap Yard,,,,,US,,
Davis Metals,Davis Metals,Scrap Yard,,,,,US,,
Deer Valley Recycling,Deer Valley Recycling,Scrap Yard,,,,,US,,
Snowman Recycling,Snowman Recycling,Scrap Yard,,,,,US,,
Nebb’s Recycling,Nebb’s Recycling,Scrap Yard,,,,,US,,
We Buy Scrap / We Buy Scrap Metal 59,We Buy Scrap / We Buy Scrap Metal 59,Scrap Yard,,,,,US,,
Tin Man Recycling / Tin Man Scrap & Recycling,Tin Man Recycling / Tin Man Scrap & Recycling,Scrap Yard,,,,,US,,
E-Z Money Recycling,E-Z Money Recycling,Scrap Yard,,Z Money Recycling,,,US,,
EZ Metals / EZ Recycling,EZ Metals / EZ Recycling,Scrap Yard,,,,,US,,
Cactus Recycling,Cactus Recycling,Scrap Yard,,,,,US,,
ABC Metals (Yuma),ABC Metals (Yuma),Scrap Yard,,,,,US,,
Bulldog Disposal & Recycling (Kingman/Bullhead/LHC),Bulldog Disposal & Recycling (Kingman/Bullhead/LHC),Scrap Yard,,,,,US,,
All Metal Buys Scrap (Phoenix/Mesa),All Metal Buys Scrap (Phoenix/Mesa),Scrap Yard,,,,,US,,
Arizona Scrap Iron & Metal,Arizona Scrap Iron & Metal,Scrap Yard,,,,,US,,
American Metals Co. (Mesa/Chandler),American Metals Co. (Mesa/Chandler),Scrap Yard,,,,,US,,
Mega Metals,Mega Metals,Scrap Yard,,,,,US,,
Olgin Efune Recycling,Olgin Efune Recycling,Scrap Yard,,,,,US,,
OG Recycling (Sun Lakes/Tempe),OG Recycling (Sun Lakes/Tempe),Scrap Yard,,,,,US,,
Recyco (Tucson),Recyco (Tucson),Unknown,,,,,US,,
Desert Metals Recycling (Tucson),Desert Metals Recycling (Tucson),Scrap Yard,,,,,US,,
Lamb Depollution (Tucson),Lamb Depollution (Tucson),Unknown,,,,,US,,
Yavapai Metal Recycling (Dewey),Yavapai Metal Recycling (Dewey),Scrap Yard,,,,,US,,
Prescott Salvage & Recycling,Prescott Salvage & Recycling,Scrap Yard,,,,,US,,
🚛 Arkansas,🚛 Arkansas,Unknown,,,,,US,,
"Alter Trading (Little Rock, Blytheville)",Alter Trading Corporation,Scrap Yard,https://www.altertrading.com/,,,,US,,
CMC Recycling (several),Commercial Metals Company,Scrap Yard,https://www.cmc.com/,,,,US,,
SA Recycling (select sites),SA Recycling,Scrap Yard,https://www.sarecycling.com/,(select sites),,,US,,
Davis Iron & Metal (Rogers region),Davis Iron & Metal (Rogers region),Scrap Yard,,,,,US,,
Razorback Recycling,Razorback Recycling,Scrap Yard,,,,,US,,
Benton Recycling,Benton Recycling,Scrap Yard,,,,,US,,
T&T Recycling,T&T Recycling,Scrap Yard,,,,,US,,
Southern Recycling (Paducah/West KY/AR crossover),Southern Recycling (Paducah/West KY/AR crossover),Scrap Yard,,,,,US,,
River City Materials (Memphis region influence),River City Materials (Memphis region influence),Unknown,,,,,US,,
North Little Rock Recycling,North Little Rock Recycling,Scrap Yard,,,,,US,,
Fort Smith Recycling,Fort Smith Recycling,Scrap Yard,,,,,US,,
🚛 California,🚛 California,Unknown,,,,,US,,
"(massive, sampling big chains + regionals)","(massive, sampling big chains + regionals)",Unknown,,,,,US,,
SA Recycling (huge footprint statewide),SA Recycling,Scrap Yard,https://www.sarecycling.com/,(huge footprint statewide),,,US,,
Schnitzer / Radius Recycling,Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,,,,US,,
Sims Metal,Sims Limited,Scrap Yard,https://www.simsltd.com/,,,,US,,
PSC Metals,PSC Metals,Scrap Yard,https://www.pscmetals.com/,,,,US,,
Ecology Auto Wrecking / Ecology Recycling,Ecology Auto Wrecking / Ecology Recycling,Scrap Yard,,,,,US,,
CASS (Custom Alloy Scrap Sales),CASS (Custom Alloy Scrap Sales),Scrap Yard,,,,,US,,
"Schnitzer Steel – Oakland, Sacramento, etc.",Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,"Oakland, Sacramento, etc.",,,US,,
Schnitzer Steel – Los Angeles / Terminal Island,Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,Los Angeles / Terminal Island,,,US,,
Alco Iron & Metal,Alco Iron & Metal,Scrap Yard,,,,,US,,
Adams Steel,Adams Steel,Unknown,,,,,US,,
Pacific Steel Group / Pacific Steel & Recycling (NorCal/PNW),Pacific Steel Group / Pacific Steel & Recycling (NorCal/PNW),Scrap Yard,,,,,US,,
Industrial Metal Supply (distribution but still metals),Industrial Metal Supply (distribution but still metals),Scrap Yard,,,,,US,,
Atlas Iron & Metal,Atlas Iron & Metal,Scrap Yard,,,,,US,,
AIM (American Iron & Metal – select yards),AIM (American Iron & Metal – select yards),Scrap Yard,,select yards),,,US,,
Decco Metal Recycling,Decco Metal Recycling,Scrap Yard,,,,,US,,
California Metal Recycling (various cities),California Metal Recycling (various cities),Scrap Yard,,,,,US,,
Standard Iron & Metal,Standard Iron & Metal,Scrap Yard,,,,,US,,
Riverside Recycling,Riverside Recycling,Scrap Yard,,,,,US,,
Bakersfield Recycling,Bakersfield Recycling,Scrap Yard,,,,,US,,
Fresno Iron & Metal,Fresno Iron & Metal,Scrap Yard,,,,,US,,
San Jose Metals,San Jose Metals,Scrap Yard,,,,,US,,
Long Beach Iron & Metal,Long Beach Iron & Metal,Scrap Yard,,,,,US,,
South Bay Metals,South Bay Metals,Scrap Yard,,,,,US,,
West Coast Metal Recycling,West Coast Metal Recycling,Scrap Yard,,,,,US,,
🚛 Colorado,🚛 Colorado,Unknown,,,,,US,,
Western Metals Recycling (OmniSource/Steel Dynamics),"Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,,,,US,,
Atlas Metal & Iron,Atlas Metal & Iron,Scrap Yard,,,,,US,,
Denver Metal Recycling,Denver Metal Recycling,Scrap Yard,,,,,US,,
Junkman Metal Recycling,Junkman Metal Recycling,Scrap Yard,,,,,US,,
All Recycling (Englewood),All Recycling (Englewood),Scrap Yard,,,,,US,,
Bob’s Metals / local yards,Bob’s Metals / local yards,Scrap Yard,,,,,US,,
Colorado Iron & Metal (Fort Collins),Colorado Iron & Metal (Fort Collins),Scrap Yard,,,,,US,,
Andersen’s Sales & Salvage (Greeley),Andersen’s Sales & Salvage (Greeley),Unknown,,,,,US,,
American Iron & Metal (regional),American Iron & Metal (regional),Scrap Yard,,,,,US,,
Snyder Metals,Snyder Metals,Scrap Yard,,,,,US,,
Rocky Mountain Recycling,Rocky Mountain Recycling,Scrap Yard,,,,,US,,
🚛 Connecticut,🚛 Connecticut,Unknown,,,,,US,,
"Schnitzer / Radius Recycling (Hartford, New Haven)",Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,,,,US,,
Sims Metal (Stamford),Sims Limited,Scrap Yard,https://www.simsltd.com/,,,,US,,
PK Metals / regional yards,PK Metals / regional yards,Scrap Yard,,,,,US,,
Albert Bros. (Waterbury),Albert Bros. (Waterbury),Unknown,,,,,US,,
Central Auto Recycling,Central Auto Recycling,Scrap Yard,,,,,US,,
Cosmo’s Ocean State / nearby RI players,Cosmo’s Ocean State / nearby RI players,Unknown,,,,,US,,
"M. DeBlasio, Inc.","M. DeBlasio, Inc.",Unknown,,,,,US,,
Midstate Recovery,Midstate Recovery,Unknown,,,,,US,,
Allied Recycling Center,Allied Recycling Center,Scrap Yard,,,,,US,,
Gershow-adjacent brokers operating in CT,Gershow-adjacent brokers operating in CT,Unknown,,adjacent brokers operating in CT,,,US,,
🚛 Delaware,🚛 Delaware,Unknown,,,,,US,,
Sims Metal (New Castle),Sims Limited,Scrap Yard,https://www.simsltd.com/,,,,US,,
PSC Metals,PSC Metals,Scrap Yard,https://www.pscmetals.com/,,,,US,,
Eastern Shore Metals,Eastern Shore Metals,Scrap Yard,,,,,US,,
First State Recycling,First State Recycling,Scrap Yard,,,,,US,,
Universal Scrap Metals DE,Universal Scrap Metals DE,Scrap Yard,,,,,US,,
C&D Salvage,C&D Salvage,Unknown,,,,,US,,
Scrap Industries Inc. (regional),Scrap Industries Inc. (regional),Scrap Yard,,,,,US,,
🚛 Florida,🚛 Florida,Unknown,,,,,US,,
